Acronym,Term,Definition
,Acquisition Logistics,"A comprehensive technical and management discipline that encompasses various activities related to the design, development, testing, production, fielding, sustainment, and modifications of Department of Defense (DoD) systems. Its primary goal is to ensure supportability while minimizing support costs. Once a system is fielded, the majority of its life-cycle costs are attributed to operations and support. This discipline provides users with the necessary resources to sustain the system effectively in the field. Reference Life Cycle Logistics (LCL), Product Support (PS), and Integrated Product Support (ISP) Elements"
,Acquisition Management,"Management of any or all of the activities within the broad spectrum of “acquisition,” as defined above. Also includes training of the Defense Acquisition Workforce and activities in support of the Planning, Programming, Budgeting and Execution (PPBE) process for defense acquisition systems/programs. For acquisition programs, this term is synonymous with program management."
,Acquisition Managers,"Persons responsible at different levels for some activity related to developing, producing, and/or fielding an Automated Information System (AIS) or weapon system. Includes senior-level managers responsible for ultimate decisions, program managers (PMs), and commodity or functional-area managers."
,Acquisition Milestones,Decision reviews to assess a program's readiness to proceed to the next acquisition phase and to make a sound investment decision committing the Department's financial resources.
 AP,Acquisition Plan,"The plan must identify those milestones at which decisions should be made. The plan must address all the technical, business, management, and other significant considerations that will control the acquisition. The specific content of plans will vary, depending on the nature, circumstances, and stage of the acquisition."
,Acquisition Planning,The process by which the efforts of all personnel responsible for an acquisition are coordinated and integrated through a comprehensive plan for fulfilling the agency need in a timely manner and at a reasonable cost. It includes developing the overall strategy for managing the acquisition.
,Acquisition Program,"A directed, funded effort that provides a new, improved, or continuing materiel, weapon, information system, or service capability in response to an approved need."
 APB,Acquisition Program Baseline,"An agreement between the Program Manager (PM) and the Milestone Decision Authority (MDA) that documents the program cost, schedule, and performance baselines, and is the fundamental binding agreement between the Milestone Decision Authority (MDA), the Component Acquisition Executive if applicable, the Program Executive Officer, and the PM. The PM is responsible for developing the APB. Key Performance Parameters from the validated Capability Development Document are listed, verbatim, in the APB. The APB serves as the basis for reporting to the MDA through the DoD management information system."
 ARRT,Acquisition Requirements Roadmap Tool,An automated job assistance tool used to write performance-based requirements following the requirements roadmap process as outlined in the DoD Guidebook for the Acquisition of Services.
,Acquisition Strategy,"Describes the Program Manager's plan to achieve program execution and programmatic goals across the entire program life cycle. Summarizes the overall approach to acquiring the capability (to include the program schedule, structure, risks, funding, and the business strategy). Contains sufficient detail to allow senior leadership and the Milestone Decision Authority (MDA) to assess whether the strategy makes good business sense, effectively implements laws and policies, and reflects management's priorities. Once approved by the MDA, the Acquisition Strategy provides a basis for more detailed planning. The strategy evolves over time and should continuously reflect the current status and desired goals of the program."
,Acquisition Streamlining,"Any effort that results in a more efficient and effective use of resources to design, develop, or produce quality systems. This includes ensuring that only necessary and cost-effective requirements are included, at the most appropriate time in the acquisition cycle, in solicitations and resulting contracts for the design, development, and production of new systems, or for modifications to existing systems that involve redesign of systems or subsystems."
,Action Officer,"The person responsible for taking action on a project, for coordination of all staff activities, and assembling the action package for decision by higher authority."
,Active Repair Time,"That portion of down time during which one or more technicians are working on the system to effect a repair. This time includes preparation time, fault location time, fault correction time, and final checkout time for the system."
,Activity,"1. A unit, organization, or installation performing a function or mission. 2. A function, mission, action, or collection of actions."
 ACWP,Actual Cost of Work Performed,The costs actually incurred and recorded in accomplishing the work performed within a given time period.
,Actual Time,Time taken by a worker to complete a task or an element of a task.
 AAF,Adaptive Acquisition Framework,"​A series of acquisition pathways to enable the workforce to tailor strategies to deliver better solutions faster. The AAF acquisition pathways provide opportunities for milestone decision authorities, Decision Authorities, and PMs to develop acquisition strategies and employ acquisition processes that match the characteristics of the capability being acquired."
 APA,Additional Performance Attribute,"Performance attribute of a system not important enough to be considered a Key Performance Parameter (KPP) or Key System Attribute (KSA), but still appropriate to include in the Capability Development Document (CDD) or updated CDD. APAs are expressed using a threshold/objective format, using parameters which reflect Measures of Performance (MOPs). APAs must be measurable, testable, and support efficient Test and Evaluation (T&E)."
 AM,Additive Manufacturing,"A process of joining materials to make parts from three-dimensional model data, usually layer by layer, also known as three-dimensional printing."
 ACO,Administrative Contracting Officer,Contracting officer whose primary duties involve contract administration.
,Advance Buy Funding,That part of the procurement funding for an end item that is separately identified in an earlier year as advance procurement.
,Advance Funding,"Appropriations of budget authority provided in an appropriations act to be used, if necessary, to cover obligations incurred late in the fiscal year for benefit payments in excess of the amount specifically appropriated in the act for that year, where the budget authority is charged to the appropriation for the program for the fiscal year following the fiscal year for which the appropriations act is passed."
 AP,Advance Procurement,Authority provided in an appropriations act to obligate and disburse during a fiscal year before that in which the related end item is procured. The funds are added to the budget authority for the fiscal year and deducted from the budget authority of the succeeding fiscal year. Used in major acquisition programs for advance procurement of components whose long-lead-times require purchase early in order to reduce the overall procurement lead-time of the major end item. Advance procurement of long lead components is an exception to the DoD “full funding” policy and must be part of the President's budget request.
 ACD&P,Advanced Component Development and Prototypes (ACD&P),"Efforts necessary to evaluate integrated technologies, representative modes, or prototype systems in a high fidelity and realistic operating environment are funded in this budget activity. The ACD&P phase includes system specific efforts that help expedite technology transition from the laboratory to operational use. Emphasis is on proving component and subsystem maturity prior to integration in major and complex systems and may involve risk reduction initiatives. Program elements in this category involve efforts prior to Milestone B and are referred to as advanced component development activities and include technology demonstrations. Completion of Technology Readiness Levels 6 and 7 should be achieved for major programs. Program control is exercised at the program and project level. A logical progression of program phases and development and/or production funding must be evident in the FYDP."
,Advanced Development,Research and Development category 03 under Major Force Program 6 of the Future Years Defense Program (FYDP). Includes all efforts that have moved into development and integration of hardware for field experiments and tests. Projects in this category have a direct relevance to identified military needs. Advanced Development is system specific and includes Advanced Technology Development (ATD) used to demonstrate general military utility or cost-reduction potential of technology when applied to different types of military equipment or techniques. Efforts include evaluation of synthetic environment and proof-of-principle demonstrations in field exercises to evaluate system upgrades or provide new operational capabilities. Projects do not have to lead to subsequent development or procurement phases. Program/budget justification must identify rough order of magnitude estimates of potential additional development and production costs consistent with DoD's full funding policy.
 ATD,Advanced Technology Demonstration,"A demonstration of the maturity and potential of advanced technologies for enhanced military operational capability or cost effectiveness. ATDs are identified, sponsored, and funded by military departments and defense agencies. ATDs are funded by the advanced technology development budget activity within the research, development, test and evaluation (RDT&E) appropriation."
 ATD,Advanced Technology Development,"This budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment. Budget Activity 3 includes concept and technology demonstrations of components and subsystems or system models. The models may be form, fit, and function prototypes or scaled models that serve the same demonstration purpose. The results of this type of effort are proof of technological feasibility and assessment of subsystem and component operability and producibility rather than the development of hardware for service use. Projects in this category have a direct relevance to identified military needs. Advanced Technology Development demonstrates the general military utility or cost reduction potential of technology when applied to different types of military equipment or techniques. Program elements in this category involve pre-Milestone B efforts, such as system concept demonstration, joint and Service-specific experiments or Technology Demonstrations and generally have Technology Readiness Levels of 4, 5, or 6. (For further discussion on Technology Readiness Levels, see the Assistant Secretary of Defense for Research and Engineering's Technology Readiness Assessment (TRA) Guidance.) Projects in this category do not necessarily lead to subsequent development or procurement phases but should have the goal of moving out of Science and Technology (S&T) and into the acquisition process within the Future Years Defense Program (FYDP). Upon successful completion of projects that have military utility, the technology should be available for transition."
 A&AS,Advisory and Assistance Services (A&AS),"Pertains to the details provided under contract by nongovernmental sources to support or improve organizational policy development, decision-making, management and administration, program and/or project management and administration, or Research and Development (R&D) activities. It can also involve providing professional advice or assistance to improve the effectiveness of federal management processes or procedures, including those of an engineering and technical nature."
,Advocates,"The Office of the Secretary of Defense (OSD) and Services' overseers whose jobs are is to encourage, monitor, enforce, and report progress in attaining certain disciplines and goals. Persons or organizations actively supporting and “selling” an acquisition program."
,Affordability,A determination that the Life Cycle Cost (LCC) of an acquisition program is in consonance with the long-range investment and force structure plans of the DoD or individual DoD components. Conducting a program at a cost constrained by the maximum resources that the DoD or DoD component can allocated to that capability.
,Affordability Analysis,A study to examine competing Component fiscal demands for production and sustainment within a relevant portfolio of products to reveal the lifecycle cost and inventory implications of the proposed new products within the portfolio
,Affordability Caps,"Binding unit procurement and sustainment constraints set for a program at the Development Request for Proposal (RFP) Release Decision Point, Milestone B, and beyond. Affordability caps provide fixed-cost requirements functionally equivalent to Key Performance Parameters."
,Affordability Constraints,"A program's unit procurement and sustainment cost goals or caps dictated by a Component's affordability analysis. Constraints are determined in a top-down manner by the resources a Component can allocate for a system given inventory objectives and all other fiscal demands on the Component—not by cost estimates. When approved affordability constraints cannot be met, then technical requirements, schedule, and required quantities must be revisited."
,Affordability Goals,Unit procurement and sustainment constraints set early in a program to inform capability requirements and major design tradeoffs needed to define the product being acquired. They are reviewed at the next major decision review.
,Aggregates,"The totals relating to the whole budget rather than a particular function, program, or line item. The seven budget aggregates are Budget Authority (BA), outlays, revenues, deficit/ surplus, level of public debt, new direct loan obligations, and new guaranteed loan commitments."
,Agile Approach,"End user(s) team with developers in order to make instant decisions on user functionality. High level requirements are initially prioritized and developed quickly by small teams in order to get a working product quickly to the customer. Multiple, rapidly executed Increments are developed and capabilities are released to the customer as soon as possible. Prototypes may be used as a starting place and utilize a modular, open-systems approach. Agile methods are typically used for small, low risk projects."
,Alignment,Performing adjustments that are necessary to return an item to a specified condition.
 AV,All Viewpoint,"DoD Architecture Framework (DoDAF)-described Models that provide information pertinent to the entire Architectural Description rather than representing a distinct viewpoint. AV-described Models provide an overview of the architectural effort including such items as the scope, context, rules, constraints, assumptions, and the derived vocabulary that pertains to the Architectural Description."
,Allocable Cost,"Cost that (a) is incurred specifically for the contract; (b) benefits both the contract and other work, and can be distributed to them in reasonable proportion to the benefits received; or (c) is necessary to the overall operation of the business, although a direct relationship to any particular cost objective cannot be shown."
,Allocated Baseline,"Documentation that designates the Configuration Items (CIs) making up a system and then allocates the system function and performance requirements across the CIs (hence the term “allocated baseline”). It includes all functional and interface characteristics that are allocated from those of a higher-level CI or from the system itself, derived requirements, interface requirements with other CIs, design restraints, and the verification required to demonstrate the achievement of specified functional and interface characteristics. The performance of each CI in the allocated baseline is described in its item performance specification."
 ACI,Allocated Configuration Identification,"Currently approved performance-oriented specifications governing the development of Configuration Items (CI) that are a part of a higher-level CI, in which each specification defines the functional characteristics that are allocated from those of the higher-level CI; establishes the tests required to demonstrate achievement of its allocated functional characteristics; delineates necessary interface requirements with other CI; and establishes design constraints, if any, such as component/part standardization, use of inventory items, or logistics support (LS) requirements."
,Allocation,"1. Distribution of limited forces and resources for employment among competing requirements. 2. The temporary transfer of forces to meet the operational demand of combatant commanders, including rotational requirements and requests for capabilities or forces (unit or individual) in response to crisis or emergent contingencies"
,Allotment,"An authorization by either the agency head or another authorized employee to incur obligations within a specific amount. Each agency makes allotments pursuant to specific procedures it establishes within the general requirements of Office of Management and Budget (OMB) Circular A-11, Part 4. The amount allotted cannot exceed the amount apportioned or allocated."
,Allowable Cost,"Several factors are considered when deciding whether a cost is allowable on a government contract. These factors include reasonableness; allocability; standards promulgated by the Cost Accounting Standards Board (CASB), if applicable, otherwise, generally accepted accounting principles and practices; and terms of the contract."
,Allowance,"A time increment included in the standard time for an operation to compensate for production lost as a result of worker fatigue, normally expected personal interruptions, and unavoidable delays."
,Alternate Live Fire Test And Evaluation Plan,"For programs under Director, Operational Test and Evaluation (DOT&E) Live Fire Test and Evaluation (LFT&E) oversight where Full-Up System Level testing is deemed unreasonably expensive and/or impracticable, the program office may submit an Alternate LFT&E Plan for DOT&E approval. The approved Alternate LFT&E Plan is part of the waiver package submitted to the Under Secretary of Defense (Acquisition, Technology and Logistics (USD (AT&L)) who is the approval authority for the waiver and who will notify Congress. The waiver is due at Milestone B or as soon as practicable after program initiation."
 ASR,Alternative Systems Review,"A multidisciplined technical review to evaluate whether there is sufficient understanding of the technical maturity, feasibility, and risk of the preferred materiel solution. Review addresses the adequacy of the system requirements documentation in addressing the operational capability needs in the Initial Capabilities Document (ICD) and draft Capability Development Document (CDD), and in meeting affordability, technology, and operational effectiveness and suitability goals."
,Analogy,Uses assumption that it is reasonable to expect similar programs at similar contractors' plants to incur similar costs.
,Analogy Cost Estimate,An estimate of costs based on historical data of a similar (analogous) item.
 AoA,Analysis of Alternatives,"Assessment of potential materiel solutions to satisfy the capability need documented in the approved Initial Capabilities Document. It focuses on identification and assesses potential materiel solutions, key trades between cost and capability, total life-cycle cost, including sustainment, schedule, concepts of operations, and overall risk. The AoA will inform and be informed by affordability analysis, cost analysis, sustainment considerations, early systems engineering analyses, threat projections, and market research. It supports a decision on the most cost effective solution that has a reasonable likelihood of providing the validated capability requirement(s). The AoA is normally conducted during the Materiel Solution Analysis phase, is key input to the Capability Development Document, and supports the materiel solution decision at Milestone A. The AoA may be updated for subsequent decision points and milestone reviews if design changes impact AoA assumptions."
,Analysis of Alternatives Study Guidance,"Provides direction to the AoA sponsor on what the AoA must include. The Director, Cost Assessment and Program Evaluation (DCAPE) develops and issues study guidance for analyses of alternatives (AoAs) for major defense acquisition programs (MDAPs). For ACAT II and III programs, Component AoA procedures apply."
,Analysis of Alternatives Study Plan,"Based on the AoA Study Guidance, the AoA Study Plan establishes a roadmap of how the analysis is conducted. The Director, Cost Assessment and Program Evaluation (DCAPE) approves study plans for analyses of alternatives (AoAs) for major defense acquisition programs (MDAPs). For ACAT II and ACAT III programs, Component AoA procedures apply."
,Analytical Framework,A structured and logical approach that serves as a foundation and starting point for conducting data analysis.
 ADA,Anti Deficiency Act,The salient features of this Act are prohibitions against authorizing or incurring obligations or expenditures in excess of amounts apportioned by the Office of Management and Budget (OMB) or in excess of amounts permitted by agency regulations; and establishment of procedures for determining the responsibility for violations and for reporting violations to the President through OMB and to the Congress.
,Anti-Counterfeit,A risk-based approach to reduce the frequency and impact of counterfeit materiel within DoD acquisition systems and DoD life-cycle sustainment processes.
 AT,Anti-Tamper,"Systems engineering activities intended to prevent or delay exploitation of CPI in U.S. defense systems in domestic and export configurations to impede countermeasure development, unintended technology transfer, or alteration of a system due to reverse engineering."
,Appeal,"A request for reconsideration of an action taken to adjust, reduce, or delete funding for an item during the congressional review of the defense budget (authorization and appropriation)."
,Applied Research,"Budget Activity (BA) 2 within a Research, Development, Test, and Evaluation (RDT&E) appropriation account. It translates promising basic research into solutions for broadly defined military needs and includes studies, investigations, and non-system specific technology efforts. It may also include design, development, and improvement of prototypes and new processes to meet general mission area requirements. Program Elements (PEs) funded under this BA typically involve pre-Milestone B efforts."
,Apportioned Effort,"In the context of Earned Value Management (EVM), an effort that by itself is not readily measured or divisible into discrete work packages but is related in direct proportion to the planning and performance of other discrete effort."
,Apportionment,"A distribution made by the Office of Management and Budget (OMB) of amounts available for obligation in an appropriation or fund accounts of the Executive Branch. The distribution makes amounts available on the basis off specified time periods, programs, activities, projects, objects, or any combinations of these. The apportionment system is intended to achieve an effective and orderly use of funds, and the apportioned amount limits the obligations that may be incurred. An apportionment may be further subdivided by an agency into allocations, sub-allocations, allotments, and suballotments."
,Appropriation Account,"Subdivisions with an appropriation. For example, the research, development, test, and evaluation (RDT&E) appropriation funds several RDT&E accounts including Army RDT&E (2040A), Navy RDT&E (1319N), and Air Force RDT&E (3600F). There are also Defense-wide RDT&E accounts. The Army and Navy usually refer to their RDT&E appropriation accounts as “R&D money” while Air Force personnel usually refer to their RDT&E appropriation account by its numerical designator, that is, “3600 money.”"
,Appropriation Limitations,"Statutory and other special restrictions, which impose a restriction on the availability of funds or the authority to obligate or expend appropriations for certain objects or purposes; such as, family housing."
,Appropriation Warrant,An official U.S. Treasury document that provides the dollar amounts established in the general and detailed appropriation accounts of the U.S. Treasury pursuant to Appropriation Acts authorized by law. It serves as a convenient source document for entries into accounts that establish the amount of money authorized to be withdrawn from the U.S. Treasury.
 APPN,Appropriations,"A provision of law (not necessarily in an appropriations act) authorizing the expenditure of funds for a given purpose. Usually, but not always, an appropriation provides budget authority."
,Appropriations Committee,The Senate and House Appropriations Committees. They recommend legislation granting funding for federal agencies and also have oversight authority to monitor how funds are spent.
,Appropriators (Appropriations Committees),The Senate and House Appropriations Committees. They recommend legislation granting funding for federal agencies and also have oversight authority to monitor how funds are spent.
,Approval,"In the context of the Joint Capabilities Integration and Development System (JCIDS) process, it is the formal or official sanction of the identified capability described in the capability documentation. Approval also certifies that the documentation has been subject to the JCIDS process."
,Approved Programs,"The technical and operational, schedule, and quantity requirements reflected in the latest approved Under Secretary of Defense for Acquisition, Technology and Logistics (USD(AT&L)) Acquisition Decision Memorandum (ADM), or other document reflecting a more current decision of the USD(AT&L) or other appropriate approval authority (such as the President's Budget (PB), the Future Years Defense Program (FYDP), and supporting documentation)."
,Approved Project,"A cooperative project under Title 22 U.S.C. §2767 that has DoD component approval for implementation, or a cooperative research and development (R&D) project under Title 10 U.S.C. §2350a that has the Office of the Secretary of Defense (OSD) approval for implementation, before any formal agreements have been negotiated or concluded and funds are released."
,Architecture,"The structure of components, their relationships, and the principles and guidelines governing their design and evolution over time."
,Architecture Data,"Facts, characteristics, and concepts that define the structure of a system and the interrelationships between its parts and its environment. The data is created in a manner suitable for communication, interpretation, or processing by humans or by automatic means. For complex systems, a framework of conventions, principles and practices is used for organizing and presenting the architecture data within a specific domain of application or community of stakeholders. The Department of Defense Architecture Framework (DoDAF) is one example."
,Architecture Design,"Systems Engineering technical process by which the Program Manager and Systems Engineer, often through system modeling, trade-offs, and decision analyses, capture the functional requirements and interdependencies in the system architecture. Trade-offs and analyses are also used to mature and realize the design of the system and system elements during the Implementation process, generating the product baseline. Architecture Design translates the outputs of the Stakeholder Requirements Definition and Requirements Analysis processes into alternative design solutions and establishes the architectural design of candidate solutions that may be found in a system model. The Architecture Design process, combined with Stakeholder Requirements Definition and Requirements Analysis, provides key insights into technical risks early in the acquisition life cycle, allowing for early development of mitigation strategies."
,Architecture Viewpoints and Models,"Visualizing architectural data is accomplished through models. Department of Defense Architecture Framework (DoDAF) described models are grouped into viewpoints. Models can be documents, spreadsheets, dashboards, or other graphical representations and serve as a template for organizing and displaying data in a more easily understood format. When data are collected and presented as a ""filled-in"" model, the result is called a view. Organized collections of views (often representing processes, systems, services, standards, etc.) are referred to as viewpoints and, with appropriate definitions, are collectively called the Architectural Description. Department of Defense Architecture Framework (DoDAF) Viewpoints are: All, Capability, Data and Information, Operational, Project, Services, Standards, and Systems."
,Armaments,"Weapons with lethal capability (e.g., missiles, rifles)."
 ASBCA,Armed Services Board of Contract Appeals,"Board established to act as the authorized representative of the Secretary of Defense (SECDEF) or Department Secretaries, in deciding claims under the disputes clause of government contracts."
,Armed Services Committees,"Standing committees of the Senate and House, respectively, the Senate Armed Services Committee (SASC) and the House Armed Services Committee (HASC). They authorize DoD programs and conduct oversight."
 AECB,Arms Export Control Board,"An interagency board, chaired by the Under Secretary of State for Security Assistance (Science and Technology (S&T)), that serves to advise the Secretary of State on matters relating to security assistance program levels and arms transfer policies."
,Arms Transfer,"Defense articles and defense services (arms, ammunition, and implements of war, including components, training, manufacturing licenses, technical assistance, related Technical Data (TD)) provided by the government under the Foreign Assistance Act (FAA) of 1961, as amended."
,Assembler,A computer program that translates assembly language programs into their machine language equivalents.
,Assembly Chart,Portrays the proposed sequence of assembly operations constituting the assembly process in the production of goods that are composed of many components.
,Assembly Language,"A programming language that corresponds closely to the instruction set of a given computer, allows symbolic naming of operations and addresses, and usually results in a one-to-one translation of program instructions to machine instructions. Typically used for those portions of real-time systems that must be highly optimized in some dimension (e.g., time or memory). Since assembly language is hardware-dependent, its use must be carefully controlled."
,Assessment Approach (Supporting an Urgent Operational Need),"Documents the plan to ensure that capabilities to be fielded in response to an urgent need, or capabilities already fielded, address the requirements of the urgent need. The Assessment Approach also documents the actions necessary to determine what capabilities were delivered to the requester, any limitations of the capabilities, and safety issues, including those that may have not been resolved."
 AORT,Assessment of Operational Test Readiness,"Prior to the Component Acquisition Executive (CAE) determination of Operational Test Readiness (OTR) for Initial Operational Test and Evaluation (IOT&E), an independent Assessment of Operational Test Readiness (AOTR) will be conducted by the Office of the Under Secretary of Defense (Acquisition, Technology and Logistics) (USD(AT&L)) on all Acquisition Category (ACAT) ID programs and special interest programs designated by the USD(AT&L). The AOTR will focus on the technical and materiel readiness of the program to proceed into IOT&E. Assessment results are based on capabilities demonstrated in Developmental Test and Evaluation (DT&E) and earlier Operational Assessments (OA)."
 AOU,Assessment of Operational Utility,"For any rapidly fielded capability solution delivered to operational users in response to a Joint Urgent Operational Need (JUON) or Joint Emergent Operational Need (JEON), the original requirement Sponsor will generate an assessment of the capability solution no later than six months after delivery to facilitate transition to a program of record, sustainment, or other alternate approaches. To facilitate follow-on development efforts, the assessment also may document applicable shortcomings in the fielded capability solution and what might be improved in a follow-on effort."
,Attribute,A quantitative or qualitative characteristic of an element or its actions.
,Auditor,Represents the cognizant audit office designated by the Defense Contract Audit Agency (DCAA) or Service audit activities for conducting audit reviews of the contractor's accounting system policies and procedures for compliance with the criteria.
,Audits,"Systematic examination of records and documents to determine adequacy and effectiveness of budgeting, accounting, financial, and related policies and procedures; compliance with applicable statutes, regulations, policies, and prescribed procedures; reliability, accuracy, and completeness of financial and administrative records and reports; and the extent to which funds and other resources are properly protected and effectively used."
,Authoritative Data Source,"​A recognized or official data source with a designated mission statement, source, or product to publish reliable and accurate data for subsequent use by customers. An authoritative data source may be the functional combination of multiple separate data sources."
 ASOT,Authoritative Source of Truth,"The reference point for models and data across the system life cycle. The authoritative source of truth provides traceability as the system evolves, capturing historical knowledge and connecting configuration-controlled versions of models and data."
,Authority for Systems Acquisition,"The framework granting authority for DoD to develop, produce, and field weapon systems emanates from two sources: the law (legal basis), and executive branch policy that includes executive direction (Executive Orders (EO)) of the President, Office of Management and Budget (OMB) Circulars, and National Security Council (NSC) Directives), and other directives and regulations such as DoDD 5000.01 and the Federal Acquisition Regulation (FAR)."
,Authorization (Authorizing Legislation),Basic substantive legislation enacted by the Congress which sets up or continues the legal operation of a Federal program or agency either indefinitely or for a specific period of time or sanctions a particular type of obligation or expenditure within a program. Such legislation is normally a prerequisite for subsequent appropriations or other kinds of budget authority to be contained in appropriation acts. It may limit the amount of budget authority to be provided subsequently or may authorize the appropriation of “such sums as may be necessary.”
,Authorized Work,"Effort that has been definitized and is on contract, plus that for which definitized contract costs have not been agreed but for which written authorization has been received."
,Authorizers (Authorization Committees),"The standing committees of Congress that have legislative authority, authorize programs, and conduct oversight over agency programs. The primary authorizers for DoD are the Senate Armed Services Committee (SASC) and House Armed Services Committee (HASC)."
,Authorizing Legislation,Legislation enacted by Congress to permit establishment or continuation of a federal program or agency. Authorizing legislation is normally required before enactment of Budget Authority (BA).
 AIS,Automated Information System,"Subset of an information system which represents the use of general-purpose computer equipment. It does not include embedded computer resources designed into materiel systems by the materiel developer. The system normally consists of a combination of information, hardware (computer), components (monitor, keyboard, modem, printer, display, and so on), software, and telecommunications resources that collect, record, process, store, communicate, retrieve, and display information, such as personnel systems, financial systems, and inventory control systems."
